Menu_Item,Average_Unit_Cost,Unit_Measurement,Description,Notes
Residential Street Resurfacing,54450,Block,"This program is for asphalt resurfacing of residential streets and will consist of three stages: milling, utility adjustments, and final pavement. If the location selected has existing residential street speed humps, humps will be replaced as part of the street resurfacing project. Due to the magnitude of this program, consecutive or adjacent street locations are encouraged to help increase production and minimize costs. Any concrete streets selected for repaving will be charged at a higher rate. Once approved, temporary ""no parking"" signs will alert residents when their block will be resurfaced. The notices will direct people to relocate their vehicles to adjacent blocks so that the street is entirely free of obstacles for resurfacing to take place.","[""Note 1: ADA Ramps will be installed where needed to comply with Federally Mandated guidelines"", ""Note 2: If you would not like to reinstall any existing speed humps, please indicate that with your street selections.""]"
Residential Alley Resurfacing,39425,Alley,"This program is for asphalt resurfacing of residential alleys in order to provide a smooth riding surface for cars and city garbage trucks. This program is not designed or suitable for addressing alley flooding issues. Alleys with flooding and/or drainage problems are addressed by other CDOT programs, such as the Green Alley program component of your Menu. Due to the variety and shape of alleys throughout the City, alley costs will vary accordingly. Any concrete alleys selected for repaving will be charged at a higher rate due to the higher cost of grinding down concrete. Please indicate the 4 border streets surrounding the alley. If the alley is not surrounded by streets, but by some natural boundary such as a river, railroad track, etc., please identify that natural boundary. (For example: Wentworth, 22nd St, 23rd St, Dan Ryan Expressway). If there are more than 4 surrounding sides, please add them, as appropriate in order to help clarify the location, also list the street address of a property behind which the alley is located.","[""Note 1: ADA Ramps will be installed where needed to comply with Federally mandated guidelines as well as concrete alley aprons. These costs will be reflected in the project cost estimate."", ""Note 2: If a selected location has existing alley speed humps, they will be replaced as part of this resurfacing project. New alley speed humps for an alley resurfacing location should be requested separately.""]"
Green Alley Program,280000,Alley,"This program is designed to replace an existing deteriorated unimproved alley in a residential neighborhood and will include the necessary sewer structures to alleviate any drainage problems. Due to the variety and shape of alleys throughout the City, actual estimates will vary accordingly. Please indicate the 4 border streets surrounding the alley. If the alley is not surrounded by streets, but by some natural boundary such as a river, railroad track, etc., please identify that natural boundary. (For example: Wentworth, 22nd St, 23rd St, Dan Ryan Expressway). If there are more than 4 surrounding sides, please add them, as appropriate. In order to help clarify the location, also list the street address of a property behind which the alley is located.","[""Note 1: ADA Ramps will be installed where needed to comply with Federally mandated guidelines"", ""Note 2: If selected location has existing alley speed humps, they will be replaced as part of this project. New alley speed humps for a concrete alley should be requested separately."", ""Note 3: Due to engineer design, permit application with OUC review, and construction, these projects can take up to 180 to 210 days to complete.""]"
Alley Speed Hump Program,1400,Block (includes 2 alley speed humps),"This program is primarily designed to reduce vehicular traffic speed in residential alleys and will consist of installing raised rubber 'humps' on improved alleys. No resurfacing will be included as part of this program. CDOT recommends a survey of the affected residents before choosing a location and retains the final approval for each location. Due to the variety and shape of alleys throughout the City, actual quantities and prices will vary accordingly. Please list each alley individually. Please indicate the 4 border streets surrounding the alley. If the alley is not surrounded by streets, but by some natural boundary such as a river, railroad track, etc., please identify that natural boundary. (For example: Wentworth, 22nd St, 23rd St, Dan Ryan Expressway). If there are more than 4 surrounding sides, please add them, as appropriate. In order to help clarify the location, also list the street address of a property behind which the alley is located.","[""Note: Curb and gutter work is part of another Menu Program component and is not part of the alley program component.""]"
Concrete Alley Apron,17000,Location,"This program is designed to replace existing deteriorated alley aprons with concrete which will consist of removal, framing, replacement, and restoration. Restoration will consist of topsoil and hydro-seeding only areas affected by the construction. Due to the variety and shape of most alley aprons throughout the City, actual estimates will vary accordingly. Only deteriorated driveway aprons and or misaligned curbs, will be identified for replacement, and the final estimate will reflect only those costs. It should also be noted that the Menu locations you have selected, need to clear CDOT's utility review to avoid any conflicts with other projects scheduled for 2023.","[""Note: ADA Ramps will be installed where needed to comply with Federally Mandated guidelines""]"
Street Speed Hump Program,4880,Block (includes 2 street speed humps),"This program is designed to reduce vehicular traffic speed on residential streets and will consist of installing raised asphalt 'humps'. No resurfacing will be included as part of this program. CDOT recommends a survey of the affected residents before choosing a location and retains the final approval for each location. Due to the variety and shape of streets throughout the City, actual quantities and prices will vary accordingly.","[""Note: Streets of irregular length or signalized locations may preclude installation of street speed humps on submitted locations.""]"
Sidewalk Replacement Program,105000,Block,"This program is designed to replace existing deteriorated sidewalks in residential neighborhoods. Construction will consist of removal, framing, replacement, and restoration. Restoration will consist of topsoil and hydro-seeding the area affected by the construction only. Vaulted sidewalks, sidewalks under railroad viaducts (reference viaduct upgrade), sidewalk through driveway aprons, and sidewalks in commercial areas are more costly. Only deteriorated sidewalk squares will be identified for replacement. Curb attached sidewalks will not be included in this Menu component unless the adjacent curb and gutter is also requested under the Curb and Gutter component of this Menu program.","[""Note 1: ADA Ramps will be installed where needed to comply with Federally mandated guidelines or where specifically requested. At corner addresses, the side of the property not on the project street will not be included unless specifically requested."", ""Note 2: Curb and gutter work is part of another Menu Program component and is not part of the sidewalk program component.""]"
Curb & Gutter Replacement Program,105000,Block,"This program is designed to replace existing deteriorated curbs in residential neighborhoods and will consist of removal, framing, replacement, and parkway restoration. Restoration will consist of topsoil and hydroseeding only on the parkway area affected by the construction. The inclusion of driveway aprons will be at a higher cost unless otherwise directed. Only deteriorated or misaligned curbs and driveway aprons will be identified for replacement, and the final estimate will reflect only those costs. It should also be noted that the Menu locations you have selected need to clear CDOT's utility review process to avoid any conflicts with other projects scheduled for 2023.","[""Note: ADA Ramps and curb around the corner will be included if necessary, based on the adjacent curb condition."", ""Note: Projects to repair drainage issues require additional design considerations, restoration, and cost. A minimum authorization of a % block is required. Actual price will be updated once estimate is complete.""]"
Diagonal Parking,85000,Project,"This program is primarily designed to increase parking availability; however, only certain areas will qualify. This process will require the elimination of the parkway to create the space necessary to install properly sized parking stalls. CDOT recommends that you conduct a survey of the affected residents before choosing a location; however, CDOT retains the fin
al approval for each location. An Ordinance will be required upon approval. Any tree removals on a project will require coordination with the Bureau of Forestry before finalizing the design.","[""Note 1: ADA Ramps will be installed where needed to comply with Federally mandated guidelines."", ""Note 2: Based upon the length of the request and the number of utilities that may need to be adjusted, prices will vary accordingly.""]"
Residential Street Cul-de-Sac,40000,Project,"This program is primarily designed to prohibit vehicular thru-traffic on residential streets and will consist of installing raised curbs in a circular design to allow for change in direction. CDOT requires that alderman submit a signed petition from 80% of the residents on the impacted block before detailed survey and design proceeds; however, CDOT retains the final approval for each location. An ordinance will be required upon approval of the cul-de-sac. A one-way street will need to be converted to a two-way street if a cul-de-sac is installed. This will also require an ordinance. If the street is less than 30 feet wide, parking may need to be removed on one side of the street. The standard fill for the detached cul-de-sac is red stamped colored concrete.","[""Note: Based upon the number of prices will vary accordingly.""]"
