ward,category,year,cost,total_spent,perc_spending
1,Alleys,2019,430640.82,1319999.99,32.62430479260837
1,Lighting,2019,500.0,1319999.99,0.0378787881657484
1,Misc.,2019,32231.35,1319999.99,2.441768957892189
1,Parks,2019,250000.0,1319999.99,18.9393940828742
1,Pedestrian Infrastructure,2019,59030.0,1319999.99,4.471969730848255
1,Police Cameras,2019,1800.0,1319999.99,0.13636363739669422
1,Sidewalk Repair,2019,267955.08,1319999.99,20.29962742651233
1,Street Redesign,2019,16450.0,1319999.99,1.2462121306531222
1,Street Resurfacing,2019,261392.74,1319999.99,19.802480453049093
1,Alleys,2020,184031.52,1320000.0,13.941781818181816
1,Parks,2020,75559.51,1320000.0,5.724205303030303
1,Pedestrian Infrastructure,2020,78128.19,1320000.0,5.918802272727273
1,Sidewalk Repair,2020,99933.41,1320000.0,7.570712878787879
1,Street Redesign,2020,4700.0,1320000.0,0.3560606060606061
1,Street Resurfacing,2020,877647.37,1320000.0,66.48843712121212
1,Alleys,2021,218733.81,1499999.99,14.582254097215028
1,Bicycle Infrastructure,2021,75000.0,1499999.99,5.000000033333333
1,Misc.,2021,21942.0,1499999.99,1.4628000097520002
1,Misc. CDOT,2021,660.0,1499999.99,0.044000000293333334
1,Parks,2021,324440.49,1499999.99,21.629366144195775
1,Pedestrian Infrastructure,2021,179210.39,1499999.99,11.947359412982397
1,Police Cameras,2021,12388.0,1499999.99,0.8258666721724446
1,Sidewalk Repair,2021,196404.24000000002,1499999.99,13.093616087290775
1,Street Redesign,2021,2350.0,1499999.99,0.1566666677111111
1,Street Resurfacing,2021,468871.06,1499999.99,31.258070875053807
1,Alleys,2022,541887.81,1499999.99,36.12585424083903
1,Bicycle Infrastructure,2022,300000.0,1499999.99,20.000000133333334
1,Misc.,2022,54776.0,1499999.99,3.6517333576782227
1,Pedestrian Infrastructure,2022,137314.06,1499999.99,9.154270727695138
1,Sidewalk Repair,2022,209679.16,1499999.99,13.978610759857405
1,Street Redesign,2022,129185.87,1499999.99,8.612391390749275
1,Street Resurfacing,2022,127157.09,1499999.99,8.477139389847595
2,Alleys,2019,46738.57,1319999.99,3.5408007844000062
2,Lighting,2019,82052.76,1319999.99,6.216118228909987
2,Misc.,2019,14000.0,1319999.99,1.060606068640955
2,Parks,2019,113000.0,1319999.99,8.560606125459138
2,Pedestrian Infrastructure,2019,38150.67,1319999.99,2.890202294622745
2,Police Cameras,2019,49552.0,1319999.99,3.7539394223783287
2,Sidewalk Repair,2019,14517.27,1319999.99,1.0997931901499485
