Ward,Alderperson,Address,Email,Phone Number,Websites
1,Daniel La Spata,"1958 N Milwaukee Ave, Chicago, IL 60647",info@the1stward.com,872-206-2685,"{Website: https://www.the1stward.com/, Facebook: https://www.facebook.com/The1stWard/, X: https://twitter.com/AldermanLaSpata, Instagram: https://www.instagram.com/daniel.la.spata/}"
2,Brian Hopkins,"1400 N Ashland, Chicago, IL 60622",ward02@cityofchicago.org,312-643-2299,"{Website: https://www.aldermanhopkins.com/, X: https://twitter.com/AldermanHopkins}"
3,Pat Dowell,"5046 S State St, Chicago, IL 60609",ward03@cityofchicago.org,773-373-9273,"{Website: https://ward03chicago.com/, X: https://twitter.com/aldpatdowell3rd}"
4,Lamont J. Robinson,,ward04@cityofchicago.org,312-744-2690,"{X: https://twitter.com/lamontjrobinson, Facebook: https://www.facebook.com/AldermanRobinson/, LinkedIn: https://www.linkedin.com/in/lamontjrobinson/, Instagram: https://www.instagram.com/lamontjrobinson/}"
5,Desmon C. Yancy,"2101 E 71st St Unit D, Chicago, IL 60649",ward05@cityofchicago.org,312-744-6832,"{Website: https://www.yancyforthe5th.com/, Facebook: https://www.facebook.com/YancyForThe5th, X: https://twitter.com/yancyforthe5th, Instagram: https://www.instagram.com/yancy_for_the_5th/, LinkedIn: https://www.linkedin.com/in/desmonyancy/}"
6,William E. Hall,,ward06@cityofchicago.org,312-744-0670,"{Website: https://6ward.com/, Facebook: https://www.facebook.com/6thWardChicago/, Instagram: https://www.instagram.com/6wardchicago/, X: https://twitter.com/6thWardChicago}"
7,Gregory I. Mitchell,"2249 E 95th St, Chicago IL 60617",ward07@cityofchicago.org,773-731-7777,"{Website: https://gregmitchell7thward.org/, Facebook: https://www.facebook.com/AldGregMitchell/, X: https://twitter.com/AldGregMitchell}"
8,Michelle A. Harris,"8539 S Cottage Grove Ave, Chicago, IL 60619",ward08@cityofchicago.org,773-874-3300,"{Website: https://aldermanmichelleharris.com/, X: https://twitter.com/aldermanharris, LinkedIn: https://www.linkedin.com/in/alderman-michelle-harris-660b0352/, Facebook: https://www.facebook.com/aldermanharris/}"
9,Anthony Beale,"34 E 112th Pl, Chicago, IL 60628",ward09@cityofchicago.org,773-785-1100,"{Website: https://www.ward09.com/, Facebook: https://www.facebook.com/AldBeale/, Instagram: https://www.instagram.com/aldbeale/, X: https://twitter.com/Alderman_Beale}"
10,Peter Chico,"10500 S Ewing Ave, Chicago, IL 60617",ward10@cityofchicago.org,773-768-8138,"{Facebook: https://www.facebook.com/chicofor10/}"
11,Nicole Lee,"3659 S Halsted St, Chicago, IL 60609",ward11@cityofchicago.org,773-254-6677,"{Website: https://votenicolelee.com/, Facebook: https://www.facebook.com/votenicolelee11/, LinkedIn: https://www.linkedin.com/in/nicolelee888/, Instagram: https://www.instagram.com/votenicolelee11/, X: https://twitter.com/ald_nicolelee/}"
12,Julia M. Ramirez,"3868 S Archer Ave, Chicago, IL 60632",ward12@cityofchicago.org,312-273-9828,"{Website: https://www.the12thward.org/, Instagram: https://www.instagram.com/the12thward/, X: https://twitter.com/the12thward, Facebook: https://www.facebook.com/the12thward}"
13,Marty Quinn,"6500 S Pulaski Rd, Chicago, IL 60629",ward13@cityofchicago.org,773-581-8000,"{Website: https://www.martyandangie.com/}"
14,Jeylu B. Gutierrez,"4374 S Archer Ave (Temporary), Chicago, IL 60632",ward14@cityofchicago.org,773-236-0117,"{Website: https://chicago14.com/, Facebook: https://www.facebook.com/AldJeylu, X: https://twitter.com/JeyluFor14}"
15,Raymond A.Lopez,"2650 W 51st, St, Chicago, IL 60632",ward15@cityofchicago.org,773-823-1539,"{Website: https://www.the15thward.org/, Instagram: https://www.instagram.com/aldermanraymondlopez/, Facebook: https://www.facebook.com/RaymondLopezIL04/}"
16,Stephanie D. Coleman,"1137 W 63rd St Unit C, Chicago, IL 60621",info@16thWard.org,773-306-1981,"{Website: https://www.16thward.org/, Facebook: https://www.facebook.com/AldermanStephanieDColeman/, Instagram: https://www.instagram.com/stephaniedcoleman/?hl=en, X: https://twitter.com/AldSColeman16}"
17,David Moore,"1344 W 79th St, Chicago, IL 60620",ward17@cityofchicago.org,773-783-3672,"{Website: https://www.17thwardalderman.com/, Facebook: https://www.facebook.com/p/Alderman-David-Moore-100064140667699/, X: https://twitter.com/AldermanHMoore}"
