ward,year,category,cost
1,2019,Lighting,500
1,2019,Police Cameras,1800
1,2019,Street Redesign,16450
1,2019,Misc.,32230
1,2019,Ped. Infra.,59030
1,2019,Parks,250000
1,2019,Street Resurfacing,261390
1,2019,Sidewalk Repair,267960
1,2019,Alleys,430640
1,2020,Street Redesign,4700
1,2020,Parks,75560
1,2020,Ped. Infra.,78130
1,2020,Sidewalk Repair,99930
1,2020,Alleys,184030
1,2020,Street Resurfacing,877650
1,2021,Misc. CDOT,660
1,2021,Street Redesign,2350
1,2021,Police Cameras,12390
1,2021,Misc.,21940
1,2021,Bike Infra.,75000
1,2021,Ped. Infra.,179210
1,2021,Sidewalk Repair,196400
1,2021,Alleys,218730
1,2021,Parks,324440
1,2021,Street Resurfacing,468870
1,2022,Misc.,54780
1,2022,Street Resurfacing,127160
1,2022,Street Redesign,129190
1,2022,Ped. Infra.,137310
1,2022,Sidewalk Repair,209680
1,2022,Bike Infra.,300000
1,2022,Alleys,541890
2,2019,Misc.,14000
2,2019,Sidewalk Repair,14520
2,2019,Ped. Infra.,38150
2,2019,Alleys,46740
2,2019,Police Cameras,49550
2,2019,Lighting,82050
2,2019,Street Redesign,101990
2,2019,Parks,113000
2,2019,Street Resurfacing,860000
2,2020,Misc. CDOT,20000
2,2020,Misc.,21940
2,2020,Ped. Infra.,23400
2,2020,Police Cameras,30330
2,2020,Alleys,69940
2,2020,Street Redesign,71380
2,2020,Parks,197000
2,2020,Lighting,359620
2,2020,Street Resurfacing,526380
2,2021,Ped. Infra.,1300
2,2021,Lighting,1900
2,2021,Street Redesign,3130
2,2021,Misc.,10970
2,2021,Sidewalk Repair,21250
2,2021,Alleys,28200
2,2021,Misc. CDOT,69370
2,2021,Police Cameras,148220
2,2021,Parks,197310
2,2021,Street Resurfacing,1018360
2,2022,Ped. Infra.,1050
2,2022,Sidewalk Repair,14880
2,2022,Street Redesign,16450
2,2022,Police Cameras,49550
2,2022,Parks,65000
2,2022,Lighting,157250
2,2022,Misc.,168210
2,2022,Alleys,191580
2,2022,Misc. CDOT,282340
2,2022,Street Resurfacing,527630
3,2019,Misc. CDOT,33720
3,2019,Street Redesign,35790
3,2019,Ped. Infra.,81630
3,2019,Misc.,132000
3,2019,Alleys,177980
3,2019,Sidewalk Repair,258520
3,2019,Street Resurfacing,578360
3,2020,Misc.,500
3,2020,Lighting,4540
3,2020,Street Redesign,11750
3,2020,Misc. CDOT,12430
3,2020,Ped. Infra.,99500
3,2020,Sidewalk Repair,217500
3,2020,Alleys,468250
3,2020,Street Resurfacing,505520
3,2021,Misc. CDOT,6340
3,2021,Ped. Infra.,16730
3,2021,Street Redesign,35250
3,2021,Sidewalk Repair,78100
3,2021,Lighting,137290
3,2021,Police Cameras,200680
3,2021,Alleys,287690
3,2021,Street Resurfacing,737930
3,2022,Misc. CDOT,2250
3,2022,Street Redesign,11750
3,2022,Lighting,26260
3,2022,Misc.,31460
3,2022,Ped. Infra.,59540
3,2022,Sidewalk Repair,63580
3,2022,Alleys,516310
3,2022,Street Resurfacing,788850
4,2019,Misc. CDOT,150
4,2019,Lighting,55100
4,2019,Alleys,58880
4,2019,Sidewalk Repair,90990
4,2019,Ped. Infra.,130260
4,2019,Street Resurfacing,984630
4,2020,Misc. CDOT,750
4,2020,Street Redesign,5000
4,2020,Lighting,18500
4,2020,Misc.,25000
4,2020,Ped. Infra.,31550
4,2020,Police Cameras,73450
4,2020,Alleys,469470
4,2020,Street Resurfacing,696290
4,2021,Lighting,1000
4,2021,Sidewalk Repair,29750
4,2021,Street Redesign,30510
4,2021,Misc.,35000
4,2021,Parks,81140
4,2021,Ped. Infra.,122590
4,2021,Misc. CDOT,195660
4,2021,Police Cameras,214010
4,2021,Street Resurfacing,380380
4,2021,Alleys,409940
4,2022,Ped. Infra.,34330
4,2022,Misc. CDOT,55320
4,2022,Street Redesign,63590
4,2022,Parks,75000
4,2022,Sidewalk Repair,112300
4,2022,Lighting,168000
4,2022,Misc.,172610
4,2022,Alleys,364590
4,2022,Street Resurfacing,454260
5,2019,Alleys,24000
5,2019,Police Cameras,74330
5,2019,Sidewalk Repair,76080
5,2019,Misc.,363000
5,2019,Street Resurfacing,372600
5,2019,Lighting,410000
5,2020,Sidewalk Repair,9820
5,2020,Ped. Infra.,13300
5,2020,Alleys,24050
5,2020,Street Resurfacing,402830
5,2020,Lighting,870000
5,2021,Street Redesign,4700
5,2021,Ped. Infra.,11760
5,2021,Sidewalk Repair,56140
5,2021,Street Resurfacing,124030
5,2021,Police Cameras,214480
5,2021,Lighting,465000
5,2021,Alleys,623900
5,2022,Misc. CDOT,1560
5,2022,Police Cameras,24780
5,2022,Misc.,38970
5,2022,Ped. Infra.,72790
5,2022,Alleys,247300
5,2022,Lighting,431900
5,2022,Street Resurfacing,584340
6,2019,Police Cameras,24780
6,2019,Misc.,25500
6,2019,Sidewalk Repair,47910
6,2019,Alleys,71800
6,2019,Street Resurfacing,1150020
6,2020,Alleys,1400
6,2020,Street Redesign,4700
6,2020,Police Cameras,24780
6,2020,Ped. Infra.,28790
6,2020,Sidewalk Repair,152650
6,2020,Street Resurfacing,1107680
6,2021,Street Redesign,4700
6,2021,Misc. CDOT,5270
6,2021,Alleys,96160
6,2021,Sidewalk Repair,275400
6,2021,Lighting,276700
6,2021,Street Resurfacing,841780
6,2022,Lighting,250
6,2022,Street Redesign,2350
6,2022,Misc. CDOT,31550
6,2022,Alleys,36510
6,2022,Misc.,37100
6,2022,Sidewalk Repair,323930
6,2022,Street Resurfacing,1068310
7,2019,Lighting,500
7,2019,Misc. CDOT,2670
7,2019,Street Redesign,16450
7,2019,Alleys,23020
7,2019,Police Cameras,24780
7,2019,Misc.,43340
7,2019,Sidewalk Repair,233030
7,2019,Street Resurfacing,976220
7,2020,Street Redesign,11000
7,2020,Misc. CDOT,22010
7,2020,Alleys,22600
7,2020,Lighting,109200
7,2020,Sidewalk Repair,141540
7,2020,Street Resurfacing,1013650
7,2021,Street Redesign,9400
7,2021,Misc. CDOT,122550
7,2021,Sidewalk Repair,149140
7,2021,Alleys,215400
7,2021,Lighting,355000
7,2021,Street Resurfacing,648510
7,2022,Misc. CDOT,660
7,2022,Lighting,2000
7,2022,Street Redesign,18800
7,2022,Viaducts,28340
7,2022,Alleys,32410
7,2022,Sidewalk Repair,371100
7,2022,Street Resurfacing,1002650
8,2019,Misc. CDOT,500
8,2019,Alleys,10210
8,2019,Street Redesign,16450
8,2019,Sidewalk Repair,37560
8,2019,Lighting,121640
8,2019,Misc.,405000
8,2019,Street Resurfacing,728630
8,2020,Alleys,3500
8,2020,Ped. Infra.,8580
8,2020,Sidewalk Repair,11980
8,2020,Street Redesign,39950
8,2020,Lighting,353860
8,2020,Street Resurfacing,902120
8,2021,Misc. CDOT,1200
8,2021,Misc.,2050
8,2021,Alleys,6920
8,2021,Street Redesign,25850
8,2021,Ped. Infra.,40740
8,2021,Sidewalk Repair,98790
8,2021,Police Cameras,156790
8,2021,Lighting,331200
8,2021,Street Resurfacing,833640
8,2022,Misc. CDOT,600
8,2022,Alleys,4900
8,2022,Misc.,23170
8,2022,Street Redesign,43620
8,2022,Sidewalk Repair,112010
8,2022,Lighting,174750
8,2022,Street Resurfacing,1140960
9,2019,Alleys,123250
9,2019,Sidewalk Repair,252620
9,2019,Street Resurfacing,944130
9,2020,Lighting,500
9,2020,Alleys,2100
9,2020,Misc.,10670
9,2020,Street Redesign,100000
9,2020,Sidewalk Repair,214760
9,2020,Street Resurfacing,991970
9,2021,Alleys,197760
9,2021,Sidewalk Repair,217870
9,2021,Street Resurfacing,1084360
9,2022,Misc. CDOT,750
9,2022,Alleys,76680
9,2022,Sidewalk Repair,160290
9,2022,Street Resurfacing,1261790
10,2019,Ped. Infra.,350
10,2019,Street Redesign,34300
10,2019,Police Cameras,49550
10,2019,Alleys,230650
10,2019,Sidewalk Repair,262030
10,2019,Street Resurfacing,743120
10,2020,Beautification,10000
10,2020,Street Redesign,28900
10,2020,Sidewalk Repair,95150
10,2020,Alleys,116060
10,2020,Street Resurfacing,1069890
10,2021,Lighting,1000
10,2021,Misc. CDOT,1320
10,2021,Misc.,2440
10,2021,Police Cameras,10970
10,2021,Beautification,35000
10,2021,Street Redesign,81840
10,2021,Alleys,146450
10,2021,Sidewalk Repair,545170
10,2021,Street Resurfacing,675800
10,2022,Misc. CDOT,660
10,2022,Viaducts,6890
10,2022,Beautification,25000
10,2022,Alleys,35830
10,2022,Misc.,37300
10,2022,Street Redesign,46900
10,2022,Sidewalk Repair,273540
10,2022,Street Resurfacing,1073890
11,2019,Misc.,1510
11,2019,Ped. Infra.,15000
11,2019,Lighting,20600
11,2019,Street Redesign,39630
11,2019,Misc. CDOT,48910
11,2019,Police Cameras,49550
11,2019,Sidewalk Repair,84300
11,2019,Bike Infra.,150000
11,2019,Viaducts,152390
11,2019,Alleys,276520
11,2019,Street Resurfacing,481580
11,2020,Street Redesign,20490
11,2020,Police Cameras,49550
11,2020,Sidewalk Repair,116120
11,2020,Lighting,175400
11,2020,Alleys,365830
11,2020,Street Resurfacing,592610
11,2021,Misc. CDOT,6010
11,2021,Lighting,12500
11,2021,Sidewalk Repair,17190
11,2021,Misc.,56430
11,2021,Viaducts,56510
11,2021,Ped. Infra.,82500
11,2021,Parks,172830
11,2021,Street Redesign,177330
11,2021,Police Cameras,206340
11,2021,Street Resurfacing,336860
11,2021,Alleys,375500
11,2022,Police Cameras,1800
11,2022,Lighting,17300
11,2022,Ped. Infra.,66250
11,2022,Street Redesign,199060
11,2022,Street Resurfacing,212190
11,2022,Sidewalk Repair,309820
11,2022,Alleys,693590
12,2019,Lighting,2000
12,2019,Viaducts,12060
12,2019,Street Redesign,23500
12,2019,Police Cameras,74330
12,2019,Misc.,97300
12,2019,Alleys,237520
12,2019,Sidewalk Repair,266300
12,2019,Street Resurfacing,606980
12,2020,Sidewalk Repair,31210
