ward,year,item,category,location,cost
1,2019,Maplewood Park Field House 2019 Phase II Menu Contribution,Parks,1640 N MAPLEWOOD AVE,250000
1,2019,Alley Resurfacing Menu,Alleys,N ROCKWELL ST & W CORTLAND ST&N TALMAN AVE & W BLOOMINGDALE AVE,70990
1,2019,Sidewalk Menu,Sidewalk Repair,2009 W SCHILLER ST,67160
1,2019,Street Resurfacing Menu,Street Resurfacing,ON N TALMAN AVE FROM W BLOOMINGDALE AVE TO W WABANSIA AVE,67150
1,2019,Alley Resurfacing Menu,Alleys,N ARTESIAN AVE & W WABANSIA AVE&W NORTH AVE & N CAMPBELL AVE; 1614 N ARTESIAN AVE,57360
1,2019,Alley Resurfacing Menu,Alleys,W CORTEZ ST & N CALIFORNIA AVE&N WASHTENAW AVE & W THOMAS ST; 2700 W CORTEZ ST,54840
1,2019,Street Resurfacing Menu,Street Resurfacing,ON W POTOMAC AVE FROM N OAKLEY BLVD TO N LEAVITT ST,53650
1,2019,Alley Resurfacing Menu,Alleys,3221 W ARMITAGE AVE; W ARMITAGE AVE & N KEDZIE AVE&N SAWYER AVE & W CORTLAND ST,52540
1,2019,Street Bump Outs Menu,Ped. Infra.,N WOOD ST & W OHIO ST,52530
1,2019,Street Resurfacing Menu,Street Resurfacing,ON N OAKLEY AVE FROM W POTOMAC AVE TO W HIRSCH ST,50420
1,2019,Alley Resurfacing Menu,Alleys,2426 W NORTH AVE; W NORTH AVE & N ARTESIAN AVE&N WESTERN AVE & W WABANSIA AVE,49750
1,2019,Street Resurfacing Menu,Street Resurfacing,ON N LEAVITT ST FROM W DIVISION ST TO W NORTH AVE,45940
1,2019,Alley Resurfacing Menu,Alleys,1400 N CAMPBELL AVE; N CAMPBELL AVE & W LE MOYNE ST&W HIRSCH ST & N MAPLEWOOD AVE,42060
1,2019,Sidewalk Menu,Sidewalk Repair,3101 W ARMITAGE AVE,32390
1,2019,Sidewalk Menu,Sidewalk Repair,2439 W FULLERTON AVE,31870
1,2019,LPR Reader: 1899 N MOZART,Misc.,1900 N MOZART ST,30430
1,2019,Alley Resurfacing Menu,Alleys,N WHIPPLE ST & W BLOOMINGDALE AVE&N HUMBOLDT BLVD W & W CORTLAND ST,30310
1,2019,Alley Resurfacing Menu,Alleys,W FULLERTON AVE & N WESTERN AVE&N ARTESIAN AVE & W ALTGELD ST; 2440 N WESTERN AVE,26100
1,2019,Street Resurfacing Menu,Street Resurfacing,ON N HONORE ST FROM N WICKER PARK AVE TO N MILWAUKEE AVE,23130
1,2019,Sidewalk Menu,Sidewalk Repair,1289 N MILWAUKEE AVE,22450
1,2019,Street Resurfacing Menu,Street Resurfacing,ON W WALTON ST FROM N WOOD ST TO N HERMITAGE AVE,21100
1,2019,Alley Resurfacing Menu,Alleys,2727 W CHANAY ST; W JULIA CT & N STAVE ST&N STAVE ST & W ST HELEN ST,17900
1,2019,Alley Resurfacing Menu,Alleys,W OHIO ST & N DAMEN AVE&W RACE AVE & N WOLCOTT AVE,17650
1,2019,Sidewalk Menu,Sidewalk Repair,2457 N FAIRFIELD AVE,17020
1,2019,Sidewalk Menu,Sidewalk Repair,3436 W CORTLAND ST,13550
1,2019,Sidewalk Menu,Sidewalk Repair,1378 W GRAND AVE,12960
1,2019,Alley Resurfacing Menu,Alleys,2726 W CHANAY ST; W CHANAY ST & N POINT ST,11140
1,2019,Sidewalk Menu,Sidewalk Repair,1542 N CAMPBELL AVE,10480
1,2019,Sidewalk Menu,Sidewalk Repair,1709 N FRANCISCO AVE,7240
1,2019,Sidewalk Menu,Sidewalk Repair,1859 W CHICAGO AVE,6870
1,2019,Sidewalk Menu,Sidewalk Repair,1457 W ERIE ST,4700
1,2019,Street Speed Hump Menu,Street Redesign,ON N CAMPBELL AVE FROM W NORTH AVE TO W WABANSIA AVE,4700
1,2019,Street Speed Hump Menu,Street Redesign,ON W CHESTNUT ST FROM N GREENVIEW AVE TO N ASHLAND AVE,4700
1,2019,Street Speed Hump Menu,Street Redesign,ON W ERIE ST FROM N WOLCOTT AVE TO N DAMEN AVE,4700
1,2019,Sidewalk Menu,Sidewalk Repair,2346 W RICE ST,4020
1,2019,Sidewalk Menu,Sidewalk Repair,1539-1541 W WALTON ST,3930
1,2019,Sidewalk Menu,Sidewalk Repair,1528-1531 N TALMAN AVE,3820
1,2019,Sidewalk Menu,Sidewalk Repair,2548 W ARMITAGE AVE,3180
1,2019,Sidewalk Menu,Sidewalk Repair,836 N GREENVIEW AVE,3040
1,2019,Sidewalk Menu,Sidewalk Repair,2727 W HADDON AVE,2800
1,2019,Sidewalk Menu,Sidewalk Repair,1027 N HERMITAGE AVE,2700
1,2019,Sidewalk Menu,Sidewalk Repair,2115 N CALIFORNIA AVE,2650
1,2019,Sidewalk Menu,Sidewalk Repair,516 N ADA ST,2390
1,2019,Street Speed Hump Menu,Street Redesign,ON W CRYSTAL ST FROM N HERMITAGE AVE TO N WOOD ST,2350
1,2019,Sidewalk Menu,Sidewalk Repair,2418 W CORTEZ ST,2280
1,2019,Sidewalk Menu,Sidewalk Repair,1264 N WOOD ST,2100
1,2019,POD Camera Relocation to 2536 W Cortland,Police Cameras,2536 W CORTLAND ST,1800
1,2019,POD Relocation: 2701 W Francis Pl,Misc.,2701 W FRANCIS PL,1800
1,2019,Sidewalk Menu,Sidewalk Repair,1935 W HURON ST,1740
1,2019,Sidewalk Menu,Sidewalk Repair,1829 W ELLEN ST,1640
1,2019,Sidewalk Menu,Sidewalk Repair,1220 N DAMEN AVE,1430
1,2019,Sidewalk Menu,Sidewalk Repair,1832 N WASHTENAW AVE,1390
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N DAMEN AVE & W LE MOYNE ST,1200
1,2019,Sidewalk Menu,Sidewalk Repair,1332 N WOLCOTT AVE,1190
1,2019,Sidewalk Menu,Sidewalk Repair,2346 W SUPERIOR ST,950
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N MILWAUKEE AVE & N HONORE ST,700
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N CALIFORNIA AVE & W ALTGELD ST,600
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N DAMEN AVE & W EVERGREEN AVE,600
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N DAMEN AVE & W HURON ST,600
1,2019,Street Light Upgrade Menu,Lighting,2024 N STAVE ST,500
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N CALIFORNIA AVE & W PALMER ST,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N CALIFORNIA AVE & W SHAKESPEARE AVE,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N MILWAUKEE AVE & N WASHTENAW AVE,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N MILWAUKEE AVE & W MEDILL AVE,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W AUGUSTA BLVD & N PAULINA ST,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W DIVISION ST & N HOYNE AVE,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W DIVISION ST & N PAULINA ST,350
1,2019,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W DIVISION ST & N WOLCOTT AVE,350
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W ERIE ST FROM N WOOD ST TO N WOLCOTT AVE,88540
1,2020,Maplewood Park Field House,Parks,1640 N MAPLEWOOD AVE,75560
1,2020,Street Resurfacing Menu,Street Resurfacing,ON N LEAVITT ST FROM W DIVISION ST TO W NORTH AVE,71680
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W HURON ST FROM N PAULINA ST TO N WOOD ST,71250
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W HURON ST FROM N ASHLAND AVE TO N PAULINA ST,62810
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W MONTANA ST FROM N OAKLEY AVE TO N WESTERN AVE,58470
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W BLOOMINGDALE AVE FROM N ST LOUIS AVE TO N CENTRAL PARK AVE,55970
1,2020,Street Resurfacing Menu,Street Resurfacing,ON N FAIRFIELD AVE FROM 2416 N TO W ALTGELD ST,55180
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W OHIO ST FROM N BISHOP ST TO N ARMOUR ST,52700
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W MOFFAT ST FROM N CAMPBELL AVE TO N ROCKWELL ST,51920
1,2020,Street Resurfacing Menu,Street Resurfacing,ON N ADA ST FROM W HURON ST TO W CHICAGO AVE,51350
1,2020,Arterial Street Bump Outs Menu,Ped. Infra.,W ARMITAGE AVE & N WASHTENAW AVE,50000
1,2020,Alley Resurfacing Menu,Alleys,W ARMITAGE AVE & N LAWNDALE AVE&N MONTICELLO AVE & W CORTLAND ST,46770
1,2020,Street Resurfacing Menu,Street Resurfacing,ON N WASHTENAW AVE FROM W BELDEN AVE TO N MILWAUKEE AVE,45360
1,2020,Alley Resurfacing Menu,Alleys,N WOOD ST & W AUGUSTA BLVD&W CORTEZ ST & N HERMITAGE AVE,43080
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W LYNDALE ST FROM N TALMAN AVE TO N WASHTENAW AVE,36420
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W CORTLAND ST FROM N KEDZIE AVE TO N SAWYER AVE,34110
1,2020,Street Resurfacing Menu,Street Resurfacing,ON N HOYNE AVE FROM W PIERCE AVE TO W NORTH AVE,32780
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W EVERGREEN AVE FROM N MILWAUKEE AVE TO W SCHILLER ST,30850
1,2020,Alley Resurfacing Menu,Alleys,N RICHMOND ST & W WABANSIA AVE&W BLOOMINGDALE AVE & N FRANCISCO AVE,30380
1,2020,Alley Resurfacing Menu,Alleys,W CHICAGO AVE & N WOOD ST&N HERMITAGE AVE & W PEARSON ST,29980
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W DICKENS AVE FROM N CALIFORNIA AVE TO N MOZART ST,29880
1,2020,Sidewalk Menu,Sidewalk Repair,2546 W HOMER ST,28940
1,2020,Pedestrian Refuge Island Menu,Ped. Infra.,N ASHLAND AVE & W CHESTNUT ST,27530
1,2020,Sidewalk Menu,Sidewalk Repair,N BISHOP ST & W FRY ST,25950
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W CHESTNUT ST FROM N NOBLE ST TO N GREENVIEW AVE,25040
1,2020,Street Resurfacing Menu,Street Resurfacing,ON W LE MOYNE DR FROM N CLAREMONT AVE TO N WESTERN AVE,23350
1,2020,Alley Resurfacing Menu,Alleys,N WOOD ST & W GRAND AVE&W OHIO ST & N HARTLAND CT,18410
1,2020,Sidewalk Menu,Sidewalk Repair,N CALIFORNIA AVE & W MEDILL AVE,16000
1,2020,Alley Resurfacing Menu,Alleys,N ASHLAND AVE & N MILWAUKEE AVE&W BLACKHAWK ST & N PAULINA ST; 1244 N ASHLAND AVE,15420
1,2020,Sidewalk Menu,Sidewalk Repair,W WABANSIA AVE & N MOZART ST,14490
1,2020,Sidewalk Menu,Sidewalk Repair,516 N HERMITAGE AVE,6050
1,2020,Sidewalk Menu,Sidewalk Repair,1709 N FRANCISCO AVE,5300
1,2020,Street Speed Hump Menu,Street Redesign,2044 W SCHILLER ST; ON W SCHILLER ST FROM N DAMEN AVE TO N HOYNE AVE,4700
1,2020,Sidewalk Menu,Sidewalk Repair,1713 N RICHMOND ST,3200
1,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N CALIFORNIA AVE & W ALTGELD ST,600
1,2021,Maplewood Park Field House,Parks,1640 N MAPLEWOOD AVE,324440
1,2021,Street Resurfacing Menu,Street Resurfacing,ON W LYNDALE ST FROM N WESTERN AVE TO N ROCKWELL ST,124600
1,2021,Sidewalk Menu,Sidewalk Repair,1947 N ROCKWELL ST,97270
1,2021,Sidewalk Menu,Sidewalk Repair,N CALIFORNIA AVE & W MEDILL AVE,78540
1,2021,Alley Resurfacing Menu,Alleys,N OAKLEY BLVD & W IOWA ST&W RICE ST & N WESTERN AVE; 850 N OAKLEY BLVD,65810
1,2021,Curb & Gutter Menu,Street Resurfacing,1400 N OAKLEY BLVD,63610
1,2021,Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.,Ped. Infra.,N CALIFORNIA AVE & W ARMITAGE AVE,53340
1,2021,Street Resurfacing Menu,Street Resurfacing,1500 W WALTON ST,53110
1,2021,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,Ped. Infra.,N HUMBOLDT BLVD & W PALMER BLVD,50000
1,2021,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,Ped. Infra.,W ARMITAGE AVE & N KEDZIE AVE,50000
1,2021,Bike Lane/Marked Shared Lane Menu,Bike Infra.,ON W ERIE ST FROM N NOBLE ST TO N DAMEN AVE,45000
1,2021,Curb & Gutter Menu,Street Resurfacing,1853 N KEDZIE AVE,43250
1,2021,Alley Resurfacing Menu,Alleys,2524 W MEDILL AVE; W MEDILL AVE & N CAMPBELL AVE&N MAPLEWOOD AVE & W FULLERTON AVE,38170
1,2021,Alley Resurfacing Menu,Alleys,W RACE AVE & N DAMEN AVE&N WOLCOTT AVE & W GRAND AVE; 1927 W RACE AVE,37510
1,2021,Street Resurfacing Menu,Street Resurfacing,ON N OAKLEY AVE FROM W THOMAS ST TO W HADDON AVE,36740
1,2021,Alley Resurfacing Menu,Alleys,910 N HERMITAGE AVE; W AUGUSTA BLVD & N WOOD ST&N HERMITAGE AVE & W WALTON ST,35930
